"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4360025620","linkedin","https://www.linkedin.com/jobs/view/4360025620","","Senior Data Analyst","Inceed","Lenexa, KS","2026-02-09","","","","","","",False,"","","","","","","https://www.linkedin.com/company/inceed","","","","","","","","","","","",""
"li-4279060589","linkedin","https://www.linkedin.com/jobs/view/4279060589","","Junior Analyst","Goldbelt Glacier Health Services","","2026-02-09","","","","","","",False,"","","","","","","https://www.linkedin.com/company/goldbelt-glacier-health-services-llc","","","","","","","","","","","",""
"li-4370567086","linkedin","https://www.linkedin.com/jobs/view/4370567086","","Summer Internship - Data Analytics","IVX Health","Brentwood, TN","2026-02-09","","","","","","",False,"","","","","","","https://www.linkedin.com/company/ivx-health","","","","","","","","","","","",""
"li-4370570246","linkedin","https://www.linkedin.com/jobs/view/4370570246","","Data Analyst","TalentAlly","Bridgeview, IL","2026-02-09","","","","","","",False,"","","","","","","https://www.linkedin.com/company/talentallyatwork","","","","","","","","","","","",""
"li-4370559280","linkedin","https://www.linkedin.com/jobs/view/4370559280","","Junior Optimization Analyst","Moxxi Digital","New York, NY","2026-02-09","","","","","","",False,"","","","","","","https://www.linkedin.com/company/moxxi-digital","","","","","","","","","","","",""
"li-4370239051","linkedin","https://www.linkedin.com/jobs/view/4370239051","","Data Analyst Intern","Thermo Fisher Scientific","Hillsboro, OR","2026-02-09","","","","","","",False,"","","","","","","https://ch.linkedin.com/company/srcare","","","","","","","","","","","",""
"li-4370457159","linkedin","https://www.linkedin.com/jobs/view/4370457159","","Temporary Data Analyst","Career Group","New York, NY","2026-02-09","","","","","","",False,"","","","","","","https://www.linkedin.com/company/career-group","","","","","","","","","","","",""
"li-4370229131","linkedin","https://www.linkedin.com/jobs/view/4370229131","","Land Data Analyst","Crescent Energy","Houston, TX","2026-02-09","","","","","","",False,"","","","","","","https://www.linkedin.com/company/crescent-energy-co","","","","","","","","","","","",""
"li-4370468083","linkedin","https://www.linkedin.com/jobs/view/4370468083","","Sr Business Data Analyst","DHL Supply Chain","Lebanon, PA","2026-02-09","","","","","","",False,"","","","","","","https://de.linkedin.com/company/dhl-supply-chain","","","","","","","","","","","",""
"li-4364080154","linkedin","https://www.linkedin.com/jobs/view/4364080154","","Data Analyst, Corporate Operations","Anduril Industries","Costa Mesa, CA","2026-02-09","","","","","","",False,"","","","","","","https://www.linkedin.com/company/anduril","","","","","","","","","","","",""
"li-4370599619","linkedin","https://www.linkedin.com/jobs/view/4370599619","","Data Analyst","TalentAlly","Eastvale, CA","2026-02-09","","","","","","",False,"","","","","","","https://www.linkedin.com/company/talentallyatwork","","","","","","","","","","","",""
"li-4370576232","linkedin","https://www.linkedin.com/jobs/view/4370576232","","Compliance Data Analyst","SCS Financial","St Louis, MO","2026-02-09","","","","","","",False,"","","","","","","https://www.linkedin.com/company/scs-financial","","","","","","","","","","","",""
